#,Artist(s),Date,Venue,City / State,Notes
1,"Rolling Rock Town Fair 2 — Stone Temple Pilots, Deftones, Incubus, Live, Oleander, Staind, Tantric","Aug 4, 2001",Westmoreland Fairgrounds,"Latrobe / Mt. Pleasant, PA",Confirmed
2,"Rolling Rock Town Fair 3 — Godsmack, Outkast, Nickelback, P.O.D., Sevendust, Default, Injected, Tommy Lee","Jul 27, 2002",Westmoreland Fairgrounds,"Latrobe / Mt. Pleasant, PA",Alien Ant Farm cancelled (bus accident); Tommy Lee filled in
3,"Rolling Rock Town Fair 5 — Staind, Disturbed, Velvet Revolver, Three Days Grace, Finch, Finger Eleven, Hoobastank, N.E.R.D, Sevendust","Jul 31, 2004",Westmoreland Fairgrounds,"Latrobe / Mt. Pleasant, PA",Heavy rain/mud reported; no postponement found
4,Incubus,"Oct 10, 2004",A.J. Palumbo Center,"Pittsburgh, PA",With Ben Kweller. Confirmed; only Pittsburgh stop that era
5,The Darkness,"Jun 17, 2004",Chevrolet Amphitheatre,"Pittsburgh, PA",Resolved. Permission to Land / U.S. tour. Wildhearts support routing confirms exact date
6,"Fall Out Boy — Nintendo Fusion Tour, w/ Motion City Soundtrack, Panic! at the Disco, The Starting Line, Boys Night Out","Sep 28 – Nov 23, 2005",Various (tour),Multiple cities,Confirmed tour window
7,Panic! at the Disco / The Dresden Dolls / The Hush Sound,"Jul 18, 2006",Chevrolet Amphitheatre,"Pittsburgh, PA",Dresden Dolls (Amanda Palmer) = vaudevillian female-singer band. Headliner Panic!
8,Vans Warped Tour 2005,"Aug 1, 2005",Post-Gazette Pavilion,"Burgettstown, PA","Fall Out Boy, Alexisonfire, Gogol Bordello, Hawthorne Heights"
9,Vans Warped Tour 2006,"Jul 27, 2006",Post-Gazette Pavilion,"Burgettstown, PA","AFI, Rise Against, Thursday, Motion City Soundtrack, NOFX"
10,Vans Warped Tour 2007,"Aug 8, 2007",Post-Gazette Pavilion,"Burgettstown, PA","Paramore, Coheed & Cambria, All Time Low, Bad Religion"
11,Vans Warped Tour 2008,"Jul 29, 2008",Post-Gazette Pavilion,"Burgettstown, PA","Anberlin, All Time Low, Against Me!, 3OH!3"
12,The Bamboozle 2008 — Panic! at the Disco & Coheed and Cambria headline,"May 4, 2008",Meadowlands Sports Complex,"East Rutherford, NJ","Also: Paramore, Gym Class Heroes, Cobra Starship, The Academy Is…"
13,The Bamboozle 2011,"Apr 29 – May 1, 2011",New Meadowlands Stadium,"East Rutherford, NJ","Lil Wayne, Mötley Crüe, Taking Back Sunday, A Day to Remember"
14,"Freddie Gibbs — “High Tide” 4/20 Cruise, w/ Wiki, Kota the Friend","Apr 20, 2019",Hornblower Infinity Yacht,"New York, NY",Boarded at 353 West St.
15,Gym Class Heroes,~2006,California University of PA,"California, PA",Still open — no primary campus listing located
16,Billy Joel / Elton John — Face2Face tour,"Mar 7, 2003",Mellon Arena (Civic Arena),"Pittsburgh, PA",Only indoor-arena Pittsburgh date across all Face2Face years
17,Barenaked Ladies / Guster,"Jul 24, 2002",Post-Gazette Pavilion,"Burgettstown, PA",Vertical Horizon credited opener that night (Guster co-billed other years)
18,Saosin,"Jul 5, 2005",Charleroi VFW,"Charleroi, PA (Pittsburgh area)","Resolved. All Dudes All the Time Tour. With Anberlin, Acceptance, Terminal, Codeseven"
19,Fall Out Boy / Four Year Strong — “Schrute Farms” secret show,"Nov 19, 2007",Mohawk Place,"Buffalo, NY",~300-cap sellout under Office alias; full Take This to Your Grave; Keith Buckley guest on Pantera “Walk”
20,Fall Out Boy — Infinity on High release-day free show (TRL),"Feb 6, 2007",Times Square,"New York, NY",Same-day free shows also in Chicago & LA
21,LCD Soundsystem — “Final” show,"Apr 2, 2011",Madison Square Garden,"New York, NY",Billed as last show ever; reunited 2016
22,"My Chemical Romance / Anberlin — Nintendo Fusion Tour, w/ Story of the Year, Lostprophets, Letter Kills","~Oct 22–23, 2004",Rostraver Ice Garden,"Belle Vernon, PA",Confirmed via routing (immediately before Oct 24 Philadelphia)
23,Bloc Party,"Aug 7–9, 2012",Terminal 5,"New York, NY",Three-night sold-out “Four” run (recalled as “Terminal 9”)
24,The Early November / Ace Enders,~2004,Small venue,"Pittsburgh, PA",Still open
25,HIM,"Apr 21, 2004",The Rock Club (Station Square),"Pittsburgh, PA","Resolved. Love Metal Tour. (Later return Nov 18, 2004 also documented)"
26,Jedi Mind Tricks,"Nov 17, 2008",The Social,"Orlando, FL",Resolved. With Outerspace / Reef the Lost Cause
27,Jack’s Mannequin,~2008,Unknown,"Orlando, FL",Still open — year/market consistent; exact night unresolved
28,All Time Low / Mayday Parade / The Maine / Every Avenue,"Oct 18, 2008",House of Blues,"Orlando, FL",Resolved. Joint fall 2008 package
29,Fall Out Boy / The Academy Is… / We The Kings,"Dec 12, 2008",House of Blues,"Orlando, FL",Resolved. XL 106.7 “XL-ent Electric Xmas”
30,Flight of the Conchords,"Apr 8, 2009",UCF Arena,"Orlando, FL",Confirmed
31,"Flight of the Conchords — Oddball Comedy & Curiosity Festival, w/ Dave Chappelle, Hannibal Buress, John Mulaney","Aug 30, 2013",Post-Gazette Pavilion (First Niagara Pavilion),"Burgettstown, PA",Confirmed
32,John Mayer,"Aug 14, 2003 or Aug 11, 2004 or Aug 20, 2008",Post-Gazette Pavilion,"Burgettstown, PA",Three viable matches; none on a Coldplay bill
33,Coldplay,"Aug 11, 2005",Post-Gazette Pavilion,"Burgettstown, PA",Twisted Logic Tour w/ Rilo Kiley. Only confirmed outdoor Coldplay date at venue
34,Taking Back Sunday / Angels & Airwaves / Head Automatica / The Subways,"Jun 27, 2006",Chevrolet Amphitheatre,"Pittsburgh, PA",Confirmed (corrected from 2007)
35,Taking Back Sunday,~2006,College campus,"Pittsburgh, PA",Still open — no verified campus date beyond the Jun 27 amphitheatre show
36,Hey Monday,2008,Unknown,"Orlando, FL",Still open — band formed 2008 in West Palm Beach; exact Orlando show unresolved
