Category,Title,Creator,My Rating,Avg Rating,Num Ratings,Tags,Date Added,Date Read,Album,Release Date,Origin
Book,"Death Throes of the Republic (Hardcore History, #34-39)","Carlin, Dan",5,4.74,529,"read, 2024, ancient-history, caesar, history, non-fiction, politics, roman-republic, top-shelf, war","Apr 10, 2024",Jan 2024,,,BOOKS.csv
Book,Oath and Honor: A Memoir and a Warning,"Cheney, Liz",4,4.56,28579,"read, 2024, american-history, congress, election, history, jan-6, memoir, non-fiction, politics, president, recent-history, trump","Feb 14, 2024",Jan 2024,,,BOOKS.csv
Book,Midnight in Washington: How We Almost Lost Our Democracy and Still Could,"Schiff, Adam",4,4.52,4423,"read, 2021, american-history, congress, election, history, jan-6, memoir, non-fiction, politics, president, recent-history, trump","Mar 24, 2022",not set,,,BOOKS.csv
Book,"The Hundred Years’ War on Palestine: A History of Settler Colonialism and Resistance, 1917–2017","Khalidi, Rashid",3,4.49,37847,"read, 2024, history, non-fiction, politics, recent-history, war","Jan 25, 2024",Jan 2024,,,BOOKS.csv
Book,Betrayal: The Final Act of the Trump Show,"Karl, Jonathan",5,4.48,5000,"read, 2021, american-history, congress, election, gonzo, history, jan-6, journalism, memoir, non-fiction, politics, president, recent-history, top-shelf, trump","Jul 18, 2022","Jan 06, 2023",,,BOOKS.csv
Book,"The Divider: Trump in the White House, 2017 - 2021","Baker, Peter",5,4.45,3662,"read, 2022, american-history, election, history, jan-6, journalism, massive, non-fiction, politics, president, recent-history, source, trump","Oct 11, 2022","Jan 06, 2023",,,BOOKS.csv
Book,A True History of the United States,"Sjursen, Daniel A.",4,4.43,772,"read, 2024, american-history, history, massive, non-fiction, politics, recent-history","Jan 10, 2024","Dec 21, 2024",,,BOOKS.csv
Book,"One Nation Under Blackmail: The Sordid Union Between Intelligence and Organized Crime That Gave Rise to Jeffrey Epstein, Vol. 2","Webb, Whitney Alyse",5,4.42,711,"read, 2024, conspiracy, crime, non-fiction","Feb 20, 2024","Feb 22, 2024",,,BOOKS.csv
Book,Complete Works of Plutarch,Plutarch,5,4.42,89,"read, 2024, ancient-history, caesar, history, massive, non-fiction, politics, roman-republic, source, stories, top-shelf","Sep 21, 2024",not set,,,BOOKS.csv
Book,I Alone Can Fix It: Donald J. Trump's Catastrophic Final Year,"Leonnig, Carol",4,4.39,10683,"read, american-history, election, history, jan-6, journalism, massive, non-fiction, politics, president, recent-history, trump","Apr 13, 2022",not set,,,BOOKS.csv
Book,Nuclear War: A Scenario,"Jacobsen, Annie",5,4.36,52648,"read, 2024, fictional-history, non-fiction, recent-history, science, sociology, top-shelf, war","May 14, 2024","Jul 31, 2024",,,BOOKS.csv
Book,Philip and Alexander: Kings and Conquerors,"Goldsworthy, Adrian",4,4.36,2605,"read, 2024, ancient-history, great-man-theory, history, non-fiction, war","Jun 24, 2024","Jul 30, 2024",,,BOOKS.csv
Book,The Forever War: America’s Unending Conflict with Itself,"Bryant, Nick",3,4.35,744,"read, 2024, american-history, history, non-fiction, politics, recent-history, stories","Jul 30, 2024","Aug 24, 2024",,,BOOKS.csv
Book,"The Devil's Chessboard: Allen Dulles, the CIA, and the Rise of America's Secret Government","Talbot, David",4,4.35,8730,"read, conspiracy, history, non-fiction","Jan 26, 2023",Jan 2024,,,BOOKS.csv
Book,Sapiens: A Brief History of Humankind,"Harari, Yuval Noah",4,4.33,1300744,"read, 2024, ancient-history, history, non-fiction, philosophy, sociology","Mar 01, 2023",Jan 2024,,,BOOKS.csv
Book,The Assassination of Julius Caesar: A People's History of Ancient Rome,"Parenti, Michael",5,4.31,2232,"read, 2024, ancient-history, caesar, crime, history, non-fiction, roman-republic","Mar 29, 2024","Apr 29, 2024",,,BOOKS.csv
Book,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,"Bird, Kai",5,4.3,61199,"read, 2023, american-history, biography, great-man-theory, history, massive, non-fiction, science, source, top-shelf, war","Jul 13, 2023","Jul 14, 2023",,,BOOKS.csv
Book,Hummingbird,"Angelini, Jude",5,4.3,971,"read, biography, memoir, personality, top-shelf","Mar 24, 2022",not set,,,BOOKS.csv
