datetime,who_sent,text,direction
"2026-08-18 13:46:48",Dan,"My love, my life…where are thee",outbound
"2026-08-18 13:47:02",Ally,"Omg ",inbound
"2026-08-18 13:47:28",Ally,"Why do I have 2 numbers for you and an iCloud ",inbound
"2026-08-18 13:47:58",Dan,"Because I am the poster child of unreliable scumbag shitheads",outbound
"2026-08-18 13:48:27",Dan,"Listen I am in complete isolation now it’s fucked ",outbound
"2026-08-18 13:48:29",Ally,"Ok PeteyxWentz",inbound
"2026-08-18 13:48:51",Dan,"I bet EVERYTHING on that girl and she did me dirty so I am just ",outbound
"2026-08-18 13:49:01",Dan,"Building wiki’s of myself ",outbound
"2026-08-18 13:49:02",Ally,"I mean not to rub it in but what did you expect ",inbound
"2026-08-18 13:49:06",Ally,"She sounded awful ",inbound
"2026-08-18 13:49:19",Ally,"Wait so you guys are done done? ",inbound
"2026-08-18 13:49:42",Dan,"Yes but at that time I wanted basically the most promiscuous yet contained person I could find",outbound
"2026-08-18 13:50:07",Dan,"It was not really a good “life decision”",outbound
"2026-08-18 13:50:36",Ally,"Yeah you told me she did heroin and gang bangs ",inbound
"2026-08-18 13:51:29",Dan,"That’s a bit of an exaggeration but the spirit of it is correct",outbound
"2026-08-18 13:52:48",Dan,"Listen just tell me legitimately what personal developments and prerequisites need to be met  for me to court you and inevitably marry you",outbound
"2026-08-18 13:53:56",Dan,"Its the only timeline that makes sense ",outbound
"2026-08-18 13:54:24",Ally,"Ok yeah actually I am ready to settle down ",inbound
"2026-08-18 13:54:32",Ally,"Well first you’d have to be obsessed with me again ",inbound
"2026-08-18 13:54:45",Ally,"Secondly I don’t really know; the bar is on the floor these days ",inbound
"2026-08-18 13:55:38",Dan,"Omg this is incredible news ",outbound
"2026-08-18 13:55:55",Dan,"Do NOT tempt me ",outbound
"2026-08-18 13:56:48",Dan,"I have so many ideas already ",outbound
"2026-08-18 13:57:20",Dan,"I bet you’re a world class girlfriend",outbound
"2026-08-18 13:57:22",Ally,"Are you still in NYC? ",inbound
"2026-08-18 13:57:45",Ally,"Well yeah I’m smart and hilarious and I have huge naturals ",inbound
"2026-08-18 14:00:17",Dan,"￼I am back in PA",outbound
"2026-08-18 14:02:59",Dan,"And what are you doing ",outbound
"2026-08-18 14:03:18",Dan,"If im going to court you properly I need looped in",outbound
"2026-08-18 14:24:21",Ally,"I’m working from home ",inbound
"2026-08-18 14:24:25",Ally,"I’m in Charlotte ",inbound
"2026-08-18 15:07:23",Dan,"Oh come on ",outbound
"2026-08-18 15:07:30",Dan,"More detail than THAT",outbound
"2026-08-18 15:08:18",Dan,"How am I supposed to properly obsess when all I have is 

-works at home
-charlotte
-still unthinkably pretty",outbound
"2026-08-18 15:08:49",Dan,"- cool factor maintained",outbound
"2026-08-18 15:10:47",Dan,"￼Your page in the wiki is getting a big update. It hadn’t really gone through our messages yet",outbound
"2026-08-18 15:11:55",Dan,"￼Lmao oh god",outbound
"2026-08-18 15:49:14",Ally,"Hi hi sorry I was in a meeting ",inbound
"2026-08-18 15:49:39",Ally,"No way ",inbound
"2026-08-18 15:50:25",Ally,"A real time enclosure of Annie’s escort work with dates LOL",inbound
"2026-08-18 15:58:11",Ally,"If someone ever archived my texts I’d kill myself ",inbound
"2026-08-18 16:03:52",Dan,"Yeah imagine not just archiving them but analyzing and then publishing them lol",outbound
"2026-08-18 16:04:02",Ally,"No literally ",inbound
"2026-08-18 16:04:17",Dan,"it’s a wild thing to do and as far as I know, it hasn’t been done by anyone else yet",outbound
"2026-08-18 16:04:18",Ally,"But like it’s impressive to love someone that much I guess ",inbound
"2026-08-18 16:04:34",Dan,"LMAO what do you mean? It’s about me not anyone else",outbound
"2026-08-18 16:04:45",Dan,"I mean obviously the closer someone is to me the more they appear in the data but ",outbound
