date,is_from_me,text
"2018-12-17 15:59:53",0,"I like that a lot "
"2018-12-17 16:01:26",1,"It’s  fucking enormous "
"2018-12-17 16:06:10",0,"Yeah it’s like the size of your heathen bed "
"2018-12-17 16:07:23",1,"Oh act surprised, like I’m not a garbage person "
"2018-12-17 17:50:17",0,"It was an observation! "
"2018-12-17 18:20:15",1,"Send me your address. I’m buying your Christmas gift <3"
"2018-12-17 18:21:12",1,"(I promise not to show up in North Carolina)"
"2018-12-17 18:23:12",0,Lies!!!!!1!1!
"2018-12-17 18:27:38",0,"I’m scared to hahah"
"2018-12-17 18:30:12",1,"lol okay - didn’t think my vibe was quite that sour. Oh well sorry Edgar and Sylvia "
"2018-12-17 18:30:37",0,"You’ve literally said you’d show up to my house!!! "
"2018-12-17 18:30:43",0,"I listen to ever murder podcast ever!!!"
"2018-12-17 18:44:06",1,"I’m kind of insulted that you think I’d be such an incompetent murderer"
"2018-12-17 18:45:23",1,"But I’m not sure if I should even joke about it at this point. I seem to have a hard time getting across the fact that I’m kidding in this thread "
"2018-12-17 18:47:30",0,"Are you actually insulted? I think everyone is a murderer all of the time "
"2018-12-17 18:48:06",0,"My mom started dating this new guy and he told her he loved her after a month and I forgot to take my meds today and went on a huge rant how he’s going to stuff her head in a bowling bag"
"2018-12-17 18:49:30",0,"Do not take it personally pls "
"2018-12-18 02:04:17",0,"Anyways if it makes you feel better sylvia is limping and I convinced myself she’s dying of cancer and now I’m trying to make a vet appt at 2am and I’m mad no vet is available to ease my decaying mind"
"2018-12-19 14:33:17",1,"Would you judge me if I told you I bought a print of the art Chuck Bass had in his apartment in Gossip Girl"
"2018-12-19 14:33:44",1,"￼"
"2018-12-19 15:03:46",0,"No "
"2018-12-20 13:39:34",0,"I listened to that book. I don’t like the narrator’s voice "
"2018-12-20 13:47:26",1,"It’s an unusually honest for, like, current prose. It’s read by the author "
"2018-12-20 13:47:34",0,"Yeah I saw that "
"2018-12-20 13:49:58",1,"It def wouldn’t have been as exciting as the self cleaning litter box I wanted to get for you......

But"
"2018-12-20 13:50:55",1,"Don’t worry I used that money well and bought some chloroform to soak rags in so my next victims won’t have to be awake when they get chopped up 😈😑😛"
"2018-12-20 13:52:43",0,"You’re wild "
"2018-12-20 13:53:57",1,"A fact which I have never denied.

Srsly though these auto cleaning litter boxes are fucking amazing. "
