date,time,sender,message,raw_timestamp,source_page
2015-12-08,16:04,Unknown,I guess that's a no,"12/8/15, 4:04 PM",1
2015-12-08,16:04,Unknown,Sorry just saw this- I'll take a bit if you have extra,"12/8/15, 4:04 PM",1
2015-12-10,23:03,Dad,I didn't get a chance to grill the chix until tonite. Let me know if u want some,"12/10/15, 11:03 PM",1
2015-12-11,07:12,Unknown,Good morning my amazing wife,"12/11/15, 7:12 AM",1
2015-12-11,08:27,Unknown,Oops. Obviously a misfire,"12/11/15, 8:27 AM",1
2015-12-11,11:47,Dad,I have some really good grilled marinated chicken. Do you want any? Sure I'll stop by after work,"12/11/15, 11:47 AM",1
2015-12-11,15:01,Dad,Plane crash at nenicolon Armed robbery at credit union on Pittsburgh st I happened to stop at the police barracks for paperwork as they got the calls Wow. U have the scoops today What time do u get off work? I have to go to the funeral home this eve BTW - how's ur case going? It's good. I'm so sorry I forgot to mention that I'm filled out an application to do ARD which jack had to do some wheeling and dealing to make happen But if I'm approved my record will be expunged After 6 month probationary period It's the lightest possible outcome,"12/11/15, 3:01 PM",1
2015-12-16,11:37,Unknown,I guess that u donʼt need me anymore so I get kicked to the curb,"12/16/15, 11:37 AM",2
2015-12-16,11:37,Unknown,I sent u a bunch of messages. I was trying to give the chicken away before it went bad and no reply. I invited u to watch the game and nothing.,"12/16/15, 11:37 AM",2
2015-12-16,11:37,Unknown,Yeah. That's what I was kinda saying,"12/16/15, 11:37 AM",2
2015-12-16,11:37,Unknown,We're eating Cmas dinner about welcome to join us,"12/16/15, 11:37 AM",2
2015-12-16,11:37,Unknown,Merry Christmas Dan,"12/16/15, 11:37 AM",2
2015-12-16,11:37,Unknown,I guess that I'm back to what do I say to Mr Ulmer when he finally pins me down?,"12/16/15, 11:37 AM",2
2015-12-16,11:37,Unknown,"For a young man as perceptive as u, Iʼm surprised that u missed the point","12/16/15, 11:37 AM",2
2015-12-16,11:37,Dad,We're gonna watch the game & have some nachos & cheese if u want to come over to Lisa's,"12/16/15, 11:37 AM",2
2015-12-16,11:37,Unknown,Not sure what that means or how I've kicked you to the curb,"12/16/15, 11:37 AM",2
2015-12-19,13:19,Unknown,Luckily I've made some progress in that area so it SHOULD take some pressure off of you in that regard,"12/19/15, 1:19 PM",2
2015-12-19,13:19,Unknown,I've hung out with both Claire and Will and they both approve. Also making (more gradual) progress with Bill and Ellen,"12/19/15, 1:19 PM",2
2015-12-19,13:19,Unknown,The one thing I took away from the 43rd President: stay the course.,"12/19/15, 1:19 PM",2
2015-12-25,13:03,Unknown,3:00. U folks r,"12/25/15, 1:03 PM",2
2015-12-27,12:04,Unknown,What was the point?,"12/27/15, 12:04 PM",3
2015-12-27,12:04,Unknown,Oh cool! What time is the game,"12/27/15, 12:04 PM",3
2015-12-27,17:28,Unknown,We lost,"12/27/15, 5:28 PM",3
2015-12-30,11:41,Unknown,Mr Turko lost his job @ TR after 30 yrs,"12/30/15, 11:41 AM",3
2015-12-30,13:28,Unknown,Wow! Lost his job? Not retired?,"12/30/15, 1:28 PM",3
2015-12-30,13:28,Unknown,Sign of the times,"12/30/15, 1:28 PM",3
2015-12-31,09:49,Unknown,Mr Zellich says hello,"12/31/15, 9:49 AM",3
2016-01-01,12:30,Unknown,Happy new year Boy,"1/1/16, 12:30 PM",3
2016-01-01,14:41,Unknown,Happy New Year! What are you doing today,"1/1/16, 2:41 PM",3
2016-01-01,14:41,Dad,What r u up to?,"1/1/16, 2:41 PM",3
2016-01-01,20:25,Dad,Hey... u can have ur mic back. I will get my own w the shekels that Iʼm not spending on voiceover talent,"1/1/16, 8:25 PM",3
2016-01-01,20:25,Unknown,Iʼm sure that u can use it,"1/1/16, 8:25 PM",3
