date,time,datetime,direction,text,service,is_read,date_read,has_attachment,message_id
2026-01-03,22:36:45,2026-01-03 22:36:45,Sent,Well I love you,iMessage,No,,No,199152
2026-01-03,22:36:58,2026-01-03 22:36:58,Sent,Idk what’s wrong or if I did it but ,iMessage,No,,No,199153
2026-01-03,22:37:10,2026-01-03 22:37:10,Sent,I try to do better ,iMessage,No,,No,199154
2026-01-03,22:39:43,2026-01-03 22:39:43,Received,I’m just tired. Headache. Gotta tell my parents tomorrow. Just stressed. I dont know I’m sorry. I love you,iMessage,Yes,2026-01-03 22:41:15,No,199155
2026-01-04,03:18:39,2026-01-04 03:18:39,Sent,Goodnight eggie I love you ,iMessage,No,,No,199158
2026-01-04,03:18:57,2026-01-04 03:18:57,Sent,Everything will be okay. ,iMessage,No,,No,199159
2026-01-04,11:08:15,2026-01-04 11:08:15,Sent,Good morning 😟 ,iMessage,No,,No,199162
2026-01-04,11:20:07,2026-01-04 11:20:07,Received,Good morning ,iMessage,Yes,2026-01-04 11:32:20,No,199163
2026-01-04,11:31:49,2026-01-04 11:31:49,Received,Is the door open   I will be over when I get dressed ,iMessage,Yes,2026-01-04 11:32:20,No,199164
2026-01-04,11:32:54,2026-01-04 11:32:54,Sent,I open it. Suz needs cigarettes if you want to stop and get them I try to get you somethi,iMessage,No,,No,199165
2026-01-04,11:34:42,2026-01-04 11:34:42,Sent,Is that okay?,iMessage,No,,No,199166
2026-01-04,11:35:02,2026-01-04 11:35:02,Sent,Door open,iMessage,No,,No,199168
2026-01-04,11:36:09,2026-01-04 11:36:09,Received,Yes,iMessage,Yes,2026-01-04 11:36:19,No,199169
2026-01-04,11:36:37,2026-01-04 11:36:37,Sent,And an orangey drink plz,iMessage,No,,No,199170
2026-01-04,11:37:21,2026-01-04 11:37:21,Received,Yes ,iMessage,Yes,2026-01-04 14:07:33,No,199171
2026-01-04,11:50:07,2026-01-04 11:50:07,Received,Leaving now ,iMessage,Yes,2026-01-04 14:07:33,No,199172
2026-01-04,14:07:18,2026-01-04 14:07:18,Received,Do you need anything from shopnsave ,iMessage,Yes,2026-01-04 14:07:33,No,199178
2026-01-04,14:07:55,2026-01-04 14:07:55,Sent,Mayyyyybe some more pretzels lol they were god,iMessage,No,,No,199179
2026-01-04,14:08:47,2026-01-04 14:08:47,Sent,and if you want to sget salt and Vinny’s but I don’t need anything els thank you,iMessage,No,,No,199180
2026-01-04,14:09:07,2026-01-04 14:09:07,Received,I texted your mom ,iMessage,Yes,2026-01-04 14:09:54,No,199181
2026-01-04,14:09:12,2026-01-04 14:09:12,Received,She hasn’t answered ,iMessage,Yes,2026-01-04 14:09:54,No,199182
2026-01-04,14:09:15,2026-01-04 14:09:15,Received,Ask please ,iMessage,Yes,2026-01-04 14:09:54,No,199183
2026-01-04,14:10:27,2026-01-04 14:10:27,Sent,i think she in the shower - her door is closed and she didn't answer when i yeklled,iMessage,No,,No,199184
2026-01-04,14:10:43,2026-01-04 14:10:43,Received,She said wine ,iMessage,Yes,2026-01-04 14:10:53,No,199185
